"globaleventid","day","monthyear","year","fractiondate","actor1code","actor1name","actor1countrycode","actor1knowngroupcode","actor1ethniccode","actor1religion1code","actor1religion2code","actor1type1code","actor1type2code","actor1type3code","actor2code","actor2name","actor2countrycode","actor2knowngroupcode","actor2ethniccode","actor2religion1code","actor2religion2code","actor2type1code","actor2type2code","actor2type3code","isrootevent","eventcode","eventbasecode","eventrootcode","quadclass","goldsteinscale","nummentions","numsources","numarticles","avgtone","actor1geo_type","actor1geo_fullname","actor1geo_countrycode","actor1geo_adm1code","actor1geo_lat","actor1geo_long","actor1geo_featureid","actor2geo_type","actor2geo_fullname","actor2geo_countrycode","actor2geo_adm1code","actor2geo_lat","actor2geo_long","actor2geo_featureid","actiongeo_type","actiongeo_fullname","actiongeo_countrycode","actiongeo_adm1code","actiongeo_lat","actiongeo_long","actiongeo_featureid","dateadded","sourceurl"
"320735389","20141028","201410","2014","2014.8164","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","0.41841003","4","Mexico City, Distrito Federal, Mexico","MX","MX09","19.4342","-99.1386","-1658079","4","Mexico City, Distrito Federal, Mexico","MX","MX09","19.4342","-99.1386","-1658079","4","Mexico City, Distrito Federal, Mexico","MX","MX09","19.4342","-99.1386","-1658079","20141028","http://mic.com/articles/102548/authorities-have-uncovered-yet-another-mass-grave-in-mexico"
"477347723","20151019","201510","2015","2015.7917","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","8","1","8","-4.311074","4","Tegucigalpa, Francisco MorazáHO, Honduras","HO","HO08","14.1","-87.2167","-1130280","4","Tegucigalpa, Francisco MorazáHO, Honduras","HO","HO08","14.1","-87.2167","-1130280","4","Tegucigalpa, Francisco MorazáHO, Honduras","HO","HO08","14.1","-87.2167","-1130280","20151019","http://www.insightcrime.org/news-analysis/why-is-honduras-so-violent"
"486233100","20151119","201511","2015","2015.874","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","40","8","40","-2.961993","2","California, United States","US","USCA","36.17","-119.746",,"2","California, United States","US","USCA","36.17","-119.746",,"2","California, United States","US","USCA","36.17","-119.746",,"20151119","http://www.mercedsunstar.com/news/local/education/article45386820.html"
"486081317","20151118","201511","2015","2015.8712","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","5","1","5","-4.4728436","0","","","",,,,"0","","","",,,,"0","","","",,,,"20151118","http://www.arcamax.com/currentnews/newsheadlines/s-1756796"
"464865468","20150908","201509","2015","2015.6794","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","-0.9569378","4","Chisinau, Chisinau, Moldova","MD","MD57","47.0056","28.8575","-2276223","4","Chisinau, Chisinau, Moldova","MD","MD57","47.0056","28.8575","-2276223","4","Chisinau, Chisinau, Moldova","MD","MD57","47.0056","28.8575","-2276223","20150908","http://tass.ru/en/world/819566"
"115793230","20110214","201102","2011","2011.1205","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","15","3","15","2.0920045","4","Sanaa, Sana', Yemen","YM","YM16","15.3547","44.2067","-3191442","4","Sanaa, Sana', Yemen","YM","YM16","15.3547","44.2067","-3191442","4","Sanaa, Sana', Yemen","YM","YM16","15.3547","44.2067","-3191442","20130203",
"115793232","20110214","201102","2011","2011.1205","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","6","3","6","2.0920045","1","Tunisia","TS","TS","34.0","9.0","0","1","Tunisia","TS","TS","34.0","9.0","0","1","Tunisia","TS","TS","34.0","9.0","0","20130203",
"466512476","20150914","201509","2015","2015.6959","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","-7.4235806","1","Romania","RO","RO","46.0","25.0",,"4","Chisinau, Chisinau, Moldova","MD","MD57","47.0056","28.8575","-2276223","4","Chisinau, Chisinau, Moldova","MD","MD57","47.0056","28.8575","-2276223","20150914","http://rapidnewsnetwork.com/at-least-20000-call-on-government-to-resign-in-moldova/174472/"
"478391883","20151023","201510","2015","2015.8027","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","8","1","8","-3.4398034","4","Guatemala City, Guatemala, Guatemala","GT","GT07","14.6211","-90.5269","-1133206","4","Guatemala City, Guatemala, Guatemala","GT","GT07","14.6211","-90.5269","-1133206","4","Guatemala City, Guatemala, Guatemala","GT","GT07","14.6211","-90.5269","-1133206","20151023","http://www.radcliffe.harvard.edu/news/in-news/independent-mind"
"299093879","20140528","201405","2014","2014.4055","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","1.5544041","4","Sukhumi, Georgia (general), Georgia","GG","GG00","43.002","41.0139","-2329946","4","Sukhumi, Georgia (general), Georgia","GG","GG00","43.002","41.0139","-2329946","4","Sukhumi, Georgia (general), Georgia","GG","GG00","43.002","41.0139","-2329946","20140528","http://en.ria.ru/russia/20140528/190190021/Kremlin-Has-Not-Discussed-Abkhaz-Protests-With-Sukhumi.html"
"276620315","20131120","201311","2013","2013.8767","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","8","1","8","1.8018018","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","20131120","http://www.valuewalk.com/2013/11/haiti-protests-turn-violent/"
"324966698","20141124","201411","2014","2014.8877","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","5","1","5","2.010969","4","Iguala, Guerrero, Mexico","MX","MX12","17.85","-100.367","-1671332","4","Iguala, Guerrero, Mexico","MX","MX12","17.85","-100.367","-1671332","4","Iguala, Guerrero, Mexico","MX","MX12","17.85","-100.367","-1671332","20141124","http://www.chicagotribune.com/news/opinion/editorials/ct-mexico-students-disappear-1124-20141121-story.html"
